number,country,n,i,o,rgdpw60,rgdpw85,gdpgrowth,popgrowth,i_y,school
1,Algeria,1,1,0,2485,4371,4.8,2.6,24.1,4.5
2,Angola,1,0,0,1588,1171,.8,2.1,5.8,1.8
3,Benin,1,0,0,1116,1071,2.2,2.4,10.8,1.8
4,Botswana,1,1,0,959,3671,8.6,3.2,28.3,2.9
5,Burkina Faso,1,0,0,529,857,2.9,.9,12.7,.4
6,Burundi,1,0,0,755,663,1.2,1.7,5.1,.4
7,Cameroon,1,1,0,889,2190,5.7,2.1,12.8,3.4
8,Central Afr. Rep.,1,0,0,838,789,1.5,1.7,10.5,1.4
9,Chad,1,0,0,908,462,-.9,1.9,6.9,.4
10,"Congo,",1,0,0,1009,2624,6.2,2.4,28.8,3.8
11,Egypt,1,0,0,907,2160,6,2.5,16.3,7
12,Ethiopia,1,1,0,533,608,2.8,2.3,5.4,1.1
13,Gabon,0,0,0,1307,5350,7,1.4,22.1,2.6
14,"Gambia, The",0,0,0,799,,3.6,,18.1,1.5
15,Ghana,1,0,0,1009,727,1,2.3,9.1,4.7
16,Guinea,0,0,0,746,869,2.2,1.6,10.9,
17,Ivory Coast,1,1,0,1386,1704,5.1,4.3,12.4,2.3
18,Kenya,1,1,0,944,1329,4.8,3.4,17.4,2.4
19,Lesotho,0,0,0,431,1483,6.8,1.9,12.6,2
20,Liberia,1,0,0,863,944,3.3,3,21.5,2.5
21,Madagascar,1,1,0,1194,975,1.4,2.2,7.1,2.6
22,Malawi,1,1,0,455,823,4.8,2.4,13.2,.6
23,Mali,1,1,0,737,710,2.1,2.2,7.3,1
24,Mauritania,1,0,0,777,1038,3.3,2.2,25.6,1
25,Mauritius,1,0,0,1973,2967,4.2,2.6,17.1,7.3
26,Morocco,1,1,0,1030,2348,5.8,2.5,8.3,3.6
27,Mozambique,1,0,0,1420,1035,1.4,2.7,6.1,.7
28,Niger,1,0,0,539,841,4.4,2.6,10.3,.5
29,Nigeria,1,1,0,1055,1186,2.8,2.4,12,2.3
30,Rwanda,1,0,0,460,696,4.5,2.8,7.9,.4
31,Senegal,1,1,0,1392,1450,2.5,2.3,9.6,1.7
32,Sierra Leone,1,0,0,511,805,3.4,1.6,10.9,1.7
33,Somalia,1,0,0,901,657,1.8,3.1,13.8,1.1
34,S. Africa,1,1,0,4768,7064,3.9,2.3,21.6,3
35,Sudan,1,0,0,1254,1038,1.8,2.6,13.2,2
36,Swaziland,0,0,0,817,,7.2,,17.7,3.7
37,Tanzania,1,1,0,383,710,5.3,2.9,18,.5
38,Togo,1,0,0,777,978,3.4,2.5,15.5,2.9
39,Tunisia,1,1,0,1623,3661,5.6,2.4,13.8,4.3
40,Uganda,1,0,0,601,667,3.5,3.1,4.1,1.1
41,Zaire,1,0,0,594,412,.9,2.4,6.5,3.6
42,Zambia,1,1,0,1410,1217,2.1,2.7,31.7,2.4
43,Zimbabwe,1,1,0,1187,2107,5.1,2.8,21.1,4.4
44,Afghanistan,0,0,0,1224,,1.6,,6.9,.9
45,Bahrain,0,0,0,,,,,30,12.1
46,Bangladesh,1,1,0,846,1221,4,2.6,6.8,3.2
47,Burma,1,1,0,517,1031,4.5,1.7,11.4,3.5
48,Hong Kong,1,1,0,3085,13372,8.9,3,19.9,7.2
49,India,1,1,0,978,1339,3.6,2.4,16.8,5.1
50,Iran,0,0,0,3606,7400,6.3,3.4,18.4,6.5
51,Iraq,0,0,0,4916,5626,3.8,3.2,16.2,7.4
52,Israel,1,1,0,4802,10450,5.9,2.8,28.5,9.5
53,Japan,1,1,1,3493,13893,6.8,1.2,36,10.9
54,Jordan,1,1,0,2183,4312,5.4,2.7,17.6,10.8
55,"Korea, South",1,1,0,1285,4775,7.9,2.7,22.3,10.2
56,Kuwait,0,0,0,77881,25635,2.4,6.8,9.5,9.6
57,Malaysia,1,1,0,2154,5788,7.1,3.2,23.2,7.3
58,Nepal,1,0,0,833,974,2.6,2,5.9,2.3
59,Oman,0,0,0,,15584,,3.3,15.6,2.7
60,Pakistan,1,1,0,1077,2175,5.8,3,12.2,3
61,Philippines,1,1,0,1668,2430,4.5,3,14.9,10.6
62,Saudi Arabia,0,0,0,6731,11057,6.1,4.1,12.8,3.1
63,Singapore,1,1,0,2793,14678,9.2,2.6,32.2,9
64,Sri Lanka,1,1,0,1794,2482,3.7,2.4,14.8,8.3
65,Syria,1,1,0,2382,6042,6.7,3,15.9,8.8
66,Taiwan,0,0,0,,,8,,20.7,
67,Thailand,1,1,0,1308,3220,6.7,3.1,18,4.4
68,U.A.E.,0,0,0,,18513,,,26.5,
69,Yemen,0,0,0,,1918,,2.5,17.2,.6
70,Austria,1,1,1,5939,13327,3.6,.4,23.4,8
71,Belgium,1,1,1,6789,14290,3.5,.5,23.4,9.3
72,Cyprus,0,0,0,2948,,5.2,,31.2,8.2
73,Denmark,1,1,1,8551,16491,3.2,.6,26.6,10.7
74,Finland,1,1,1,6527,13779,3.7,.7,36.9,11.5
75,France,1,1,1,7215,15027,3.9,1,26.2,8.9
76,"Germany, W.",1,1,1,7695,15297,3.3,.5,28.5,8.4
77,Greece,1,1,1,2257,6868,5.1,.7,29.3,7.9
78,Iceland,0,0,0,8091,,3.9,,29,10.2
79,Ireland,1,1,1,4411,8675,3.8,1.1,25.9,11.4
80,Italy,1,1,1,4913,11082,3.8,.6,24.9,7.1
81,Luxembourg,0,0,0,9015,,2.8,,26.9,5
82,Malta,0,0,0,2293,,6,,30.9,7.1
83,Netherlands,1,1,1,7689,13177,3.6,1.4,25.8,10.7
84,Norway,1,1,1,7938,19723,4.3,.7,29.1,10
85,Portugal,1,1,1,2272,5827,4.4,.6,22.5,5.8
86,Spain,1,1,1,3766,9903,4.9,1,17.7,8
87,Sweden,1,1,1,7802,15237,3.1,.4,24.5,7.9
88,Switzerland,1,1,1,10308,15881,2.5,.8,29.7,4.8
89,Turkey,1,1,1,2274,4444,5.2,2.5,20.2,5.5
90,United Kingdom,1,1,1,7634,13331,2.5,.3,18.4,8.9
91,Barbados,0,0,0,3165,,4.8,,19.5,12.1
92,Canada,1,1,1,10286,17935,4.2,2,23.3,10.6
93,Costa Rica,1,1,0,3360,4492,4.7,3.5,14.7,7
94,Dominican Rep.,1,1,0,1939,3308,5.1,2.9,17.1,5.8
95,El Salvador,1,1,0,2042,1997,3.3,3.3,8,3.9
96,Guatemala,1,1,0,2481,3034,3.9,3.1,8.8,2.4
97,Haiti,1,1,0,1096,1237,1.8,1.3,7.1,1.9
98,Honduras,1,1,0,1430,1822,4,3.1,13.8,3.7
99,Jamaica,1,1,0,2726,3080,2.1,1.6,20.6,11.2
100,Mexico,1,1,0,4229,7380,5.5,3.3,19.5,6.6
101,Nicaragua,1,1,0,3195,3978,4.1,3.3,14.5,5.8
102,Panama,1,1,0,2423,5021,5.9,3,26.1,11.6
103,Trinidad and Tobago,1,1,0,9253,11285,2.7,1.9,20.4,8.8
104,United States,1,1,1,12362,18988,3.2,1.5,21.1,11.9
105,Argentina,1,1,0,4852,5533,2.1,1.5,25.3,5
106,Bolivia,1,1,0,1618,2055,3.3,2.4,13.3,4.9
107,Brazil,1,1,0,1842,5563,7.3,2.9,23.2,4.7
108,Chile,1,1,0,5189,5533,2.6,2.3,29.7,7.7
109,Colombia,1,1,0,2672,4405,5,3,18,6.1
110,Ecuador,1,1,0,2198,4504,5.7,2.8,24.4,7.2
111,Guyana,0,0,0,2761,,1.1,,32.400002,11.7
112,Paraguay,1,1,0,1951,3914,5.5,2.7,11.7,4.4
113,Peru,1,1,0,3310,3775,3.5,2.9,12,8
114,Surinam,0,0,0,3226,,4.5,,19.4,8.1
115,Uruguay,1,1,0,5119,5495,.9,.6,11.8,7
