,countrycode,country,year,rgdpe,pop,emp,hc,ck,rtfpna,delta,rgdpew,const,popgrowth,ck_1,investment,i_y,g,ly,lschool,ls,lngd,ls_lngd,lsch_lngd,t,gt
326,ARG,Argentina,1951,51958.55078125,17.525199752974757,6.6502461433410645,1.8307689428329468,61940.01953125,0.919075608253479,0.04497954249382019,7813.026715300823,1,0.02095102727182054,65282.9375,6128.951709323912,0.11795848069603268,0.0199653945353717,10.858201579349576,0.6047360659397584,-2.1374225749413993,-2.4546184324574902,-2.1374225749413993,3.0593544983972487,0,0.0
327,ARG,Argentina,1952,47026.296875,17.884976399458644,6.755319595336914,1.8451471328735352,65282.9375,0.8413748145103455,0.04811122268438339,6961.372620691622,1,0.020116137614516336,67051.5078125,4909.412256053183,0.1043971688670879,-0.09234979750178646,10.75846223220469,0.6125590211278065,-2.2595527220326437,,-2.2595527220326437,,1,-0.09234979750178646
328,ARG,Argentina,1953,48872.8125,18.238994085503535,6.862052917480469,1.8596382141113281,67051.5078125,0.8536357879638672,0.05121159926056862,7122.185312139005,1,0.01940993480151772,67107.3125,3489.619635410636,0.07140206296518409,0.014363237374064631,10.796976539252793,0.6203819602635733,-2.63942851698419,-2.465283198117509,-2.63942851698419,3.085665158381082,2,0.028726474748129262
329,ARG,Argentina,1954,51117.45703125,18.588893866768,6.97047233581543,1.8742430210113525,67107.3125,0.8611953258514404,0.053511347621679306,7333.428004383594,1,0.018823055517574024,68349.9453125,4833.635539644165,0.09455938969517173,0.00877795972719584,10.841881342728994,0.6282048557773764,-2.3585271794994522,-2.511919889694943,-2.3585271794994522,3.140124745472319,3,0.02633387918158752
330,ARG,Argentina,1955,55854.66796875,18.936311074297834,7.0806050300598145,1.8889626264572144,68349.9453125,0.8981491327285767,0.056211769580841064,7888.403283564901,1,0.018346614932904286,71089.671875,6581.797939269338,0.11783792077954475,0.04114439966653487,10.930508381465751,0.6360278034942242,-2.13844515142042,-2.15673058128396,-2.13844515142042,2.7927583847781845,4,0.16457759866613947
331,ARG,Argentina,1956,57230.0859375,19.280156123463914,7.176124095916748,1.9017683267593384,71089.671875,0.9041852951049805,0.0582549124956131,7975.069156073293,1,0.017834142367116113,73226.9453125,6278.5960519199725,0.1097079612771632,0.006675802414706357,10.954835017018306,0.6427841516356618,-2.209933341160482,-2.4917517367028905,-2.209933341160482,3.1345358883385526,5,0.033379012073531784
332,ARG,Argentina,1957,59882.8515625,19.619335613228625,7.2729315757751465,1.9146610498428345,73226.9453125,0.9193264245986938,0.061032023280858994,8233.660792569426,1,0.017288021187425607,73912.3515625,5154.594881098688,0.08607797969872584,0.01646980777292768,11.000145458683942,0.6495406094956037,-2.4525016528867716,-2.3560929193198334,-2.4525016528867716,3.005633528815437,6,0.09881884663756607
333,ARG,Argentina,1958,64495.203125,19.955486782842016,7.371045112609863,1.9276410341262817,73912.3515625,0.9586107134819031,0.06450442224740982,8749.804422532452,1,0.01684504984876731,74841.0,5696.321971986501,0.08832163782702251,0.040980440058425084,11.074346129863228,0.6562969932345113,-2.426770152388173,-2.1010336860254073,-2.426770152388173,2.7573306792599186,7,0.28686308040897557
334,ARG,Argentina,1959,61158.3125,20.290248779758397,7.47048282623291,1.9407092332839966,74841.0,0.8973960280418396,0.06578180938959122,8186.661280478425,1,0.01649866399126364,74654.28125,4736.457646526396,0.0774458524591632,-0.06821367994422352,11.021221068099232,0.6630534904326363,-2.5581762647582997,-4.263938334566093,-2.5581762647582997,4.926991824998729,8,-0.5457094395537881
335,ARG,Argentina,1960,66006.765625,20.62525693502356,7.571260929107666,1.9538657665252686,74654.28125,0.9644623398780823,0.0691220685839653,8718.06773575025,1,0.016242617307534735,78036.4609375,8542.438036149135,0.1294176128047349,0.0695375123146027,11.097512525224523,0.6698098544979476,-2.044710794858207,-1.8649613405295828,-2.044710794858207,2.5347711950275302,9,0.6258376108314243
